word,tag
Mygz,OTH
tinupad,FIL
ang,FIL
munting,FIL
hiling,FIL
ni,FIL
Mura,OTH
Samantala,FIL
",",OTH
todo,FIL
rin,FIL
ang,FIL
pasasalamat,FIL
si,FIL
Mygz,OTH
sa,FIL
lahat,FIL
ng,FIL
nagmamahal,FIL
at,FIL
sumuporta,FIL
sa,FIL
YouTube,OTH
channel,ENG
nila,FIL
ni,FIL
Mahal,FIL
na,FIL
naging,FIL
daan,FIL
para,FIL
mas,FIL
lumalim,FIL
pa,FIL
ang,FIL
kanilang,FIL
espesyal,FIL
na,FIL
relasyon,FIL
.,OTH
sa,FIL
mga,FIL
nag,FIL
vote,ENG
sakin,FIL
as,ENG
secretary,ENG
",",OTH
ang,FIL
papanget,FIL
nyo,FIL
kabondingg,FIL
Magwakas,FIL
na,FIL
kaya,FIL
ang,FIL
kanilang,FIL
paghahanap,FIL
?,OTH
"""",OTH
,OTH
Huwag,FIL
kang,FIL
gumawa,FIL
ng,FIL
iskandalo,FIL
rito,FIL
",",OTH
"""",OTH
,OTH
ani,FIL
Vida,OTH
kay,FIL
Maria,OTH
.,OTH
hamada,OTH
asahi,OTH
ang,FIL
tatapos,FIL
ng,FIL
aking,FIL
bohai,FIL
Iba,FIL
na,FIL
ang,FIL
mayaman,FIL
talaga,FIL
.,OTH
Kung,FIL
mangamatay,FIL
siguro,FIL
ang,FIL
mga,FIL
igat,FIL
",",OTH
mauna,FIL
jud,FIL
ka,FIL
Ayon,FIL
sa,FIL
Pangulo,FIL
",",OTH
kapag,FIL
malaki,FIL
ang,FIL
supply,ENG
ng,FIL
COVID,OTH
vaccine,ENG
sa,FIL
susunod,FIL
na,FIL
buwan,FIL
ay,FIL
maaaring,FIL
palawigin,FIL
na,FIL
ang,FIL
vaccination,ENG
roll-out,ENG
sa,FIL
general,ENG
population,ENG
.,OTH
Heograpiya,FIL
Ang,FIL
kabuuang,FIL
sukat,FIL
ng,FIL
Cotabato,FIL
ay,FIL
kilometro,FIL
parisukat,FIL
.,OTH
Kinilala,FIL
nilang,FIL
lahat,FIL
na,FIL
sila,FIL
ay,FIL
mga,FIL
mananampalataya,FIL
ng,FIL
Panginoong,FIL
Jesus,OTH
",",OTH
na,FIL
sila,FIL
ay,FIL
naging,FIL
mga,FIL
disipulo,FIL
ng,FIL
Panginoong,FIL
Jesus,OTH
.,OTH
ang,FIL
ganda,FIL
mo,FIL
/,OTH
nagdabog,FIL
/,OTH
lord,OTH
nawa,FIL
ako,FIL
ay,FIL
mapatawad,FIL
ni,FIL
Mami,OTH
kung,FIL
sakaling,FIL
bumagsak,FIL
ako,FIL
Kabilang,FIL
ay,FIL
ang,FIL
mga,FIL
pilay,FIL
",",OTH
bulag,FIL
",",OTH
amputee,ENG
at,FIL
yung,FIL
may,FIL
cerebral,ENG
palsy,ENG
.,OTH
Hwag,FIL
matakot,FIL
ayon,FIL
kay,FIL
Quiboloy,OTH
",",OTH
hawak,FIL
nya,FIL
ang,FIL
remote,ENG
control,ENG
upang,FIL
kontrolin,FIL
ang,FIL
lahat,FIL
ng,FIL
klase,FIL
ng,FIL
disasters,ENG
!,OTH
Sasabihin,FIL
lang,FIL
na,FIL
patay,FIL
na,FIL
ang,FIL
tatay,FIL
nya,FIL
",",OTH
may,FIL
karugtong,FIL
pa,FIL
na,FIL
he,ENG
is,ENG
an,ENG
army,ENG
",",OTH
nasa,FIL
libibgan,FIL
ng,FIL
mga,FIL
bayani,FIL
.,OTH
itaas,FIL
ang,FIL
bandera,FIL
ng,FIL
3D,OTH
art,ENG
!,OTH
Sama,FIL
sama,FIL
",",OTH
masaya,FIL
at,FIL
nagkakaisa,FIL
ang,FIL
tunay,FIL
na,FIL
diwa,FIL
ng,FIL
pasko,FIL
.,OTH
TIGNAN,FIL
:,OTH
Kasalukuyang,FIL
nagaganap,FIL
ang,FIL
pagkikilos,FIL
sa,FIL
Mendiola,OTH
.,OTH
Sa,FIL
kabilang,FIL
banda,FIL
",",OTH
tumutukoy,FIL
ito,FIL
sa,FIL
karunungan,FIL
at,FIL
istratehiya,FIL
ng,FIL
Aking,FIL
mga,FIL
pagkilos,FIL
",",OTH
gayundin,FIL
ay,FIL
sa,FIL
kung,FIL
ano,FIL
Ako,FIL
at,FIL
anong,FIL
mayroon,FIL
Ako,FIL
.,OTH
ansaya,FIL
manuod,FIL
ng,FIL
mga,FIL
vlogs,ENG
niyong,FIL
dalawa,FIL
mhelsibayan,OTH
Katulad,FIL
ng,FIL
ibang,FIL
pagdiriwang,FIL
ng,FIL
birthday,ENG
parties,ENG
ngayon,FIL
",",OTH
wala,FIL
rin,FIL
kaibahan,FIL
ang,FIL
ginawa,FIL
ng,FIL
mag-asawang,FIL
Dingdong,OTH
Dantes,OTH
at,FIL
Marian,OTH
Rivera,OTH
para,FIL
sa,FIL
kanilang,FIL
napakagandang,FIL
unica,FIL
hija,FIL
na,FIL
si,FIL
Zia,OTH
Dantes,OTH
.,OTH
Ano,FIL
naman,FIL
ang,FIL
mensahe,FIL
niya,FIL
sa,FIL
mga,FIL
kapwa,FIL
guro,FIL
lalot,FIL
unti-unti,FIL
na,FIL
ang,FIL
pagbabalik,FIL
ng,FIL
face-to-face,ENG
classes,ENG
?,OTH
Tani,FIL
magka,FIL
drama,ENG
na,FIL
